tau_r,method,policy_temperature,remask_enabled,reuse_signal_method,reuse_signal_threshold,eval_dataset,eval_dataset_config,eval_split,accuracy,tps,avg_nfe,agreement_rate,cache_hit_rate,draft_accept_rate,reuse_mean_safe,reuse_mean_js,primary_skip_ratio,primary_full_steps,primary_partial_steps,access_effective_budget,access_next_h_f1,access_next_h_spec_f1,routing_entropy,max_routing_entropy,mean_boundary_depth,boundary_distribution,total_samples,config_note,output_dir,checkpoint_path
0.000100,Speculative-AOAE,1.0000,0,argmax_match,0.000000,openai/gsm8k,,test,0.300000,40.870,168.2,0.725813,1.000000,0.925391,0.826582,0.000000,0.275676,16.400,67.700,0.000000,0.000000,0.000000,1.981244,5.545177,0.000000,{},10,"tau_r=0.0001,tau_pi=1.0,reuse=argmax_match,pc=off,sched=llada21_block,remask=off",/n/holylabs/ydu_lab/Lab/pranavsitaraman/Efficient-dLLM-Inference/outputs/sweeps/poc1_tau_sweep/tau_0p0001,
0.001000,Speculative-AOAE,1.0000,0,argmax_match,0.000000,openai/gsm8k,,test,0.600000,35.650,200.2,0.742976,1.000000,0.908984,0.825857,0.000000,0.218076,25.300,74.800,0.000000,0.000000,0.000000,1.989218,5.545177,0.000000,{},10,"tau_r=0.001,tau_pi=1.0,reuse=argmax_match,pc=off,sched=llada21_block,remask=off",/n/holylabs/ydu_lab/Lab/pranavsitaraman/Efficient-dLLM-Inference/outputs/sweeps/poc1_tau_sweep/tau_0p0010,
0.005000,Speculative-AOAE,1.0000,0,argmax_match,0.000000,openai/gsm8k,,test,0.500000,43.143,166.0,0.742692,1.000000,0.930859,0.840002,0.000000,0.272876,17.400,65.600,0.000000,0.000000,0.000000,2.003288,5.545177,0.000000,{},10,"tau_r=0.005,tau_pi=1.0,reuse=argmax_match,pc=off,sched=llada21_block,remask=off",/n/holylabs/ydu_lab/Lab/pranavsitaraman/Efficient-dLLM-Inference/outputs/sweeps/poc1_tau_sweep/tau_0p0050,
0.010000,Speculative-AOAE,1.0000,0,argmax_match,0.000000,openai/gsm8k,,test,0.400000,43.435,164.6,0.731774,1.000000,0.923047,0.834673,0.000000,0.293969,20.000,62.300,0.000000,0.000000,0.000000,2.007215,5.545177,0.000000,{},10,"tau_r=0.01,tau_pi=1.0,reuse=argmax_match,pc=off,sched=llada21_block,remask=off",/n/holylabs/ydu_lab/Lab/pranavsitaraman/Efficient-dLLM-Inference/outputs/sweeps/poc1_tau_sweep/tau_0p0100,
0.020000,Speculative-AOAE,1.0000,0,argmax_match,0.000000,openai/gsm8k,,test,0.300000,37.967,187.6,0.708388,1.000000,0.917188,0.805245,0.000000,0.249282,23.500,70.300,0.000000,0.000000,0.000000,2.022473,5.545177,0.000000,{},10,"tau_r=0.02,tau_pi=1.0,reuse=argmax_match,pc=off,sched=llada21_block,remask=off",/n/holylabs/ydu_lab/Lab/pranavsitaraman/Efficient-dLLM-Inference/outputs/sweeps/poc1_tau_sweep/tau_0p0200,
0.050000,Speculative-AOAE,1.0000,0,argmax_match,0.000000,openai/gsm8k,,test,0.400000,39.997,178.2,0.730299,1.000000,0.923047,0.824555,0.000000,0.273418,22.700,66.400,0.000000,0.000000,0.000000,2.083796,5.545177,0.000000,{},10,"tau_r=0.05,tau_pi=1.0,reuse=argmax_match,pc=off,sched=llada21_block,remask=off",/n/holylabs/ydu_lab/Lab/pranavsitaraman/Efficient-dLLM-Inference/outputs/sweeps/poc1_tau_sweep/tau_0p0500,
