routing_label,routing_mode,tau_r,backend,model,eval_dataset,eval_dataset_config,eval_split,remask_enabled,reuse_signal_method,reuse_signal_threshold,method,accuracy,tps,avg_nfe,cache_hit_rate,agreement_rate,draft_accept_rate,access_effective_budget,mean_boundary_depth,boundary_distribution,total_samples,config_note,output_dir,checkpoint_path,delta_accuracy_vs_hard,delta_tps_vs_hard,frontier_index
hard,hard,0.000000,dinfer,inclusionAI/LLaDA2.1-mini,openai/gsm8k,,test,0,argmax_match,0.000000,llada21_quality_mode,1.000000,136.988,64.0,0.000000,0.000000,0.000000,0.000000,0.000000,{},2,"llada21_quality_mode,remask=off",/n/holylabs/ydu_lab/Lab/pranavsitaraman/Efficient-dLLM-Inference/outputs/sweeps/llada21_hard_vs_llada21_soft_routing_sweep/hard,,+0.000000,+0.000,0
0.0001,soft,0.000100,soft_moe,inclusionAI/LLaDA2.1-mini,openai/gsm8k,,test,0,argmax_match,0.000000,llada21_quality_mode,1.000000,93.029,64.0,0.000000,0.000000,0.000000,0.000000,0.000000,{},2,"llada21_quality_mode,remask=off",/n/holylabs/ydu_lab/Lab/pranavsitaraman/Efficient-dLLM-Inference/outputs/sweeps/llada21_hard_vs_llada21_soft_routing_sweep/tau_0p0001,,+0.000000,-43.959,0
0.001,soft,0.001000,soft_moe,inclusionAI/LLaDA2.1-mini,openai/gsm8k,,test,0,argmax_match,0.000000,llada21_quality_mode,1.000000,109.581,64.0,0.000000,0.000000,0.000000,0.000000,0.000000,{},2,"llada21_quality_mode,remask=off",/n/holylabs/ydu_lab/Lab/pranavsitaraman/Efficient-dLLM-Inference/outputs/sweeps/llada21_hard_vs_llada21_soft_routing_sweep/tau_0p0010,,+0.000000,-27.407,0
0.005,soft,0.005000,soft_moe,inclusionAI/LLaDA2.1-mini,openai/gsm8k,,test,0,argmax_match,0.000000,llada21_quality_mode,1.000000,121.982,64.0,0.000000,0.000000,0.000000,0.000000,0.000000,{},2,"llada21_quality_mode,remask=off",/n/holylabs/ydu_lab/Lab/pranavsitaraman/Efficient-dLLM-Inference/outputs/sweeps/llada21_hard_vs_llada21_soft_routing_sweep/tau_0p0050,,+0.000000,-15.006,0
0.01,soft,0.010000,soft_moe,inclusionAI/LLaDA2.1-mini,openai/gsm8k,,test,0,argmax_match,0.000000,llada21_quality_mode,1.000000,137.538,64.0,0.000000,0.000000,0.000000,0.000000,0.000000,{},2,"llada21_quality_mode,remask=off",/n/holylabs/ydu_lab/Lab/pranavsitaraman/Efficient-dLLM-Inference/outputs/sweeps/llada21_hard_vs_llada21_soft_routing_sweep/tau_0p0100,,+0.000000,+0.550,1
0.02,soft,0.020000,soft_moe,inclusionAI/LLaDA2.1-mini,openai/gsm8k,,test,0,argmax_match,0.000000,llada21_quality_mode,1.000000,114.310,64.0,0.000000,0.000000,0.000000,0.000000,0.000000,{},2,"llada21_quality_mode,remask=off",/n/holylabs/ydu_lab/Lab/pranavsitaraman/Efficient-dLLM-Inference/outputs/sweeps/llada21_hard_vs_llada21_soft_routing_sweep/tau_0p0200,,+0.000000,-22.678,0
0.05,soft,0.050000,soft_moe,inclusionAI/LLaDA2.1-mini,openai/gsm8k,,test,0,argmax_match,0.000000,llada21_quality_mode,1.000000,128.055,64.0,0.000000,0.000000,0.000000,0.000000,0.000000,{},2,"llada21_quality_mode,remask=off",/n/holylabs/ydu_lab/Lab/pranavsitaraman/Efficient-dLLM-Inference/outputs/sweeps/llada21_hard_vs_llada21_soft_routing_sweep/tau_0p0500,,+0.000000,-8.933,0
